name_lat,half_dec,pres
Aconitum plicatum,1985,21
Aconitum plicatum,1990,30
Aconitum plicatum,1995,46
Aconitum plicatum,2000,49
Aconitum plicatum,2005,71
Aconitum plicatum,2010,79
Aconitum plicatum,2015,15
Aconitum variegatum,1960,24
Aconitum variegatum,1965,60
Aconitum variegatum,1970,47
Aconitum variegatum,1975,42
Aconitum variegatum,1980,64
Aconitum variegatum,1985,67
Aconitum variegatum,1990,76
Aconitum variegatum,1995,86
Aconitum variegatum,2000,266
Aconitum variegatum,2005,146
Aconitum variegatum,2010,210
Aconitum variegatum,2015,28
Acorus calamus,1960,35
Acorus calamus,1965,74
Acorus calamus,1970,106
Acorus calamus,1975,148
Acorus calamus,1980,182
Acorus calamus,1985,231
Acorus calamus,1990,200
Acorus calamus,1995,222
Acorus calamus,2000,734
Acorus calamus,2005,340
Acorus calamus,2010,339
Acorus calamus,2015,88
Actaea europaea,1960,2
Actaea europaea,1965,2
Actaea europaea,1970,4
Actaea europaea,1975,2
Actaea europaea,1980,5
Actaea europaea,1985,9
Actaea europaea,1990,2
Actaea europaea,1995,8
Actaea europaea,2000,12
Actaea europaea,2005,12
Actaea europaea,2010,5
Actaea spicata,1960,476
Actaea spicata,1965,526
Actaea spicata,1970,609
Actaea spicata,1975,468
Actaea spicata,1980,347
Actaea spicata,1985,348
Actaea spicata,1990,451
Actaea spicata,1995,527
Actaea spicata,2000,1600
Actaea spicata,2005,700
Actaea spicata,2010,780
Actaea spicata,2015,118
Adenophora liliifolia,1960,3
Adenophora liliifolia,1965,7
Adenophora liliifolia,1970,2
Adenophora liliifolia,1975,7
Adenophora liliifolia,1980,10
Adenophora liliifolia,1985,1
Adenophora liliifolia,1995,6
Adenophora liliifolia,2000,18
Adenophora liliifolia,2005,27
Adenophora liliifolia,2010,18
Adenostyles alliariae,1960,10
Adenostyles alliariae,1965,20
Adenostyles alliariae,1970,17
Adenostyles alliariae,1975,3
Adenostyles alliariae,1980,5
Adenostyles alliariae,1985,17
Adenostyles alliariae,1990,7
Adenostyles alliariae,1995,23
Adenostyles alliariae,2000,21
Adenostyles alliariae,2005,24
Adenostyles alliariae,2010,20
Adonis aestivalis,1960,52
Adonis aestivalis,1965,76
Adonis aestivalis,1970,73
Adonis aestivalis,1975,108
Adonis aestivalis,1980,90
Adonis aestivalis,1985,86
Adonis aestivalis,1990,115
Adonis aestivalis,1995,91
Adonis aestivalis,2000,247
Adonis aestivalis,2005,191
Adonis aestivalis,2010,92
Adonis aestivalis,2015,52
Adonis flammea,1960,1
Adonis flammea,1970,2
Adonis flammea,1975,2
Adonis flammea,1980,1
Adonis flammea,1985,2
Adonis flammea,1990,23
Adonis flammea,1995,8
Adonis flammea,2000,22
Adonis flammea,2005,13
Adonis flammea,2010,6
Adonis flammea,2015,3
Adonis vernalis,1960,21
Adonis vernalis,1965,49
Adonis vernalis,1970,43
Adonis vernalis,1975,33
Adonis vernalis,1980,48
Adonis vernalis,1985,64
Adonis vernalis,1990,85
Adonis vernalis,1995,90
Adonis vernalis,2000,122
Adonis vernalis,2005,149
Adonis vernalis,2010,101
Adonis vernalis,2015,10
Adoxa moschatellina,1960,99
Adoxa moschatellina,1965,110
Adoxa moschatellina,1970,172
Adoxa moschatellina,1975,183
Adoxa moschatellina,1980,135
Adoxa moschatellina,1985,122
Adoxa moschatellina,1990,183
Adoxa moschatellina,1995,126
Adoxa moschatellina,2000,366
Adoxa moschatellina,2005,209
