name_lat,half_dec,pres
Cyclamen purpurascens,1970,17
Cyclamen purpurascens,1975,16
Cyclamen purpurascens,1980,5
Cyclamen purpurascens,1985,24
Cyclamen purpurascens,1990,66
Cyclamen purpurascens,1995,43
Cyclamen purpurascens,2000,155
Cyclamen purpurascens,2005,47
Cyclamen purpurascens,2010,102
Cyclamen purpurascens,2015,19
Cymbalaria muralis,1965,5
Cymbalaria muralis,1970,2
Cymbalaria muralis,1975,9
Cymbalaria muralis,1980,19
Cymbalaria muralis,1985,26
Cymbalaria muralis,1990,61
Cymbalaria muralis,1995,35
Cymbalaria muralis,2000,68
Cymbalaria muralis,2005,30
Cymbalaria muralis,2010,54
Cymbalaria muralis,2015,37
Cynodon dactylon,1960,13
Cynodon dactylon,1965,11
Cynodon dactylon,1970,22
Cynodon dactylon,1975,20
Cynodon dactylon,1980,26
Cynodon dactylon,1985,20
Cynodon dactylon,1990,62
Cynodon dactylon,1995,23
Cynodon dactylon,2000,50
Cynodon dactylon,2005,22
Cynodon dactylon,2010,29
Cynodon dactylon,2015,28
Cynoglossum officinale,1960,13
Cynoglossum officinale,1965,22
Cynoglossum officinale,1970,41
Cynoglossum officinale,1975,83
Cynoglossum officinale,1980,64
Cynoglossum officinale,1985,55
Cynoglossum officinale,1990,106
Cynoglossum officinale,1995,59
Cynoglossum officinale,2000,123
Cynoglossum officinale,2005,142
Cynoglossum officinale,2010,139
Cynoglossum officinale,2015,49
Cynosurus cristatus,1960,55
Cynosurus cristatus,1965,120
Cynosurus cristatus,1970,325
Cynosurus cristatus,1975,279
Cynosurus cristatus,1980,252
Cynosurus cristatus,1985,314
Cynosurus cristatus,1990,235
Cynosurus cristatus,1995,295
Cynosurus cristatus,2000,914
Cynosurus cristatus,2005,485
Cynosurus cristatus,2010,537
Cynosurus cristatus,2015,72
Cyperus flavescens,1965,3
Cyperus flavescens,1970,1
Cyperus flavescens,1975,2
Cyperus flavescens,1980,1
Cyperus flavescens,1985,3
Cyperus flavescens,1990,9
Cyperus flavescens,1995,5
Cyperus flavescens,2000,5
Cyperus flavescens,2005,3
Cyperus flavescens,2010,8
Cyperus flavescens,2015,4
Cyperus fuscus,1960,36
Cyperus fuscus,1965,40
Cyperus fuscus,1970,39
Cyperus fuscus,1975,48
Cyperus fuscus,1980,59
Cyperus fuscus,1985,72
Cyperus fuscus,1990,104
Cyperus fuscus,1995,127
Cyperus fuscus,2000,328
Cyperus fuscus,2005,268
Cyperus fuscus,2010,241
Cyperus fuscus,2015,127
Cyperus michelianus,1960,3
Cyperus michelianus,1965,6
Cyperus michelianus,1970,5
Cyperus michelianus,1980,4
Cyperus michelianus,1985,4
Cyperus michelianus,1990,5
Cyperus michelianus,1995,5
Cyperus michelianus,2000,15
Cyperus michelianus,2005,12
Cyperus michelianus,2010,15
Cyperus michelianus,2015,5
Cypripedium calceolus,1960,22
Cypripedium calceolus,1965,23
Cypripedium calceolus,1970,17
Cypripedium calceolus,1975,19
Cypripedium calceolus,1980,32
Cypripedium calceolus,1985,29
Cypripedium calceolus,1990,28
Cypripedium calceolus,1995,84
Cypripedium calceolus,2000,110
Cypripedium calceolus,2005,137
Cypripedium calceolus,2010,145
Cypripedium calceolus,2015,7
Cystopteris fragilis,1960,147
Cystopteris fragilis,1965,211
Cystopteris fragilis,1970,260
Cystopteris fragilis,1975,299
Cystopteris fragilis,1980,293
Cystopteris fragilis,1985,357
Cystopteris fragilis,1990,277
Cystopteris fragilis,1995,258
Cystopteris fragilis,2000,557
Cystopteris fragilis,2005,344
Cystopteris fragilis,2010,441
Cystopteris fragilis,2015,120
Cytisus nigricans,1960,227
Cytisus nigricans,1965,325
Cytisus nigricans,1970,331
Cytisus nigricans,1975,372
Cytisus nigricans,1980,247
Cytisus nigricans,1985,267
Cytisus nigricans,1990,239
Cytisus nigricans,1995,196
Cytisus nigricans,2000,437
Cytisus nigricans,2005,319
Cytisus nigricans,2010,358
Cytisus nigricans,2015,88
Cytisus procumbens,1960,15
Cytisus procumbens,1965,21
Cytisus procumbens,1970,20
Cytisus procumbens,1975,21
Cytisus procumbens,1980,38
Cytisus procumbens,1985,33
Cytisus procumbens,1990,50
Cytisus procumbens,1995,26
Cytisus procumbens,2000,33
Cytisus procumbens,2005,30
Cytisus procumbens,2010,30
Cytisus procumbens,2015,6
Cytisus scoparius,1960,54
Cytisus scoparius,1965,148
Cytisus scoparius,1970,178
Cytisus scoparius,1975,210
Cytisus scoparius,1980,192
Cytisus scoparius,1985,253
Cytisus scoparius,1990,203
Cytisus scoparius,1995,161
Cytisus scoparius,2000,545
Cytisus scoparius,2005,374
Cytisus scoparius,2010,382
Cytisus scoparius,2015,213
Dactylis glomerata agg.,1960,677
Dactylis glomerata agg.,1965,962
Dactylis glomerata agg.,1970,1245
Dactylis glomerata agg.,1975,1063
Dactylis glomerata agg.,1980,1091
Dactylis glomerata agg.,1985,1134
Dactylis glomerata agg.,1990,1344
Dactylis glomerata agg.,1995,1993
Dactylis glomerata agg.,2000,5549
Dactylis glomerata agg.,2005,2893
Dactylis glomerata agg.,2010,2860
Dactylis glomerata agg.,2015,392
Dactylorhiza fuchsii,1960,74
Dactylorhiza fuchsii,1965,104
Dactylorhiza fuchsii,1970,124
Dactylorhiza fuchsii,1975,81
Dactylorhiza fuchsii,1980,130
Dactylorhiza fuchsii,1985,165
Dactylorhiza fuchsii,1990,212
Dactylorhiza fuchsii,1995,205
Dactylorhiza fuchsii,2000,539
Dactylorhiza fuchsii,2005,328
Dactylorhiza fuchsii,2010,360
Dactylorhiza fuchsii,2015,65
Dactylorhiza incarnata,1960,7
Dactylorhiza incarnata,1965,44
Dactylorhiza incarnata,1970,17
Dactylorhiza incarnata,1975,34
Dactylorhiza incarnata,1980,60
Dactylorhiza incarnata,1985,55
Dactylorhiza incarnata,1990,53
Dactylorhiza incarnata,1995,84
Dactylorhiza incarnata,2000,117
Dactylorhiza incarnata,2005,92
Dactylorhiza incarnata,2010,66
Dactylorhiza incarnata,2015,11
Dactylorhiza maculata,1960,11
Dactylorhiza maculata,1965,22
Dactylorhiza maculata,1970,33
Dactylorhiza maculata,1975,30
Dactylorhiza maculata,1980,27
Dactylorhiza maculata,1985,14
Dactylorhiza maculata,1990,31
Dactylorhiza maculata,1995,22
Dactylorhiza maculata,2000,56
Dactylorhiza maculata,2005,16
Dactylorhiza maculata,2010,12
Dactylorhiza maculata,2015,4
Dactylorhiza majalis,1960,217
Dactylorhiza majalis,1965,321
Dactylorhiza majalis,1970,454
Dactylorhiza majalis,1975,334
Dactylorhiza majalis,1980,503
Dactylorhiza majalis,1985,617
Dactylorhiza majalis,1990,613
Dactylorhiza majalis,1995,698
Dactylorhiza majalis,2000,1920
Dactylorhiza majalis,2005,1122
Dactylorhiza majalis,2010,1089
Dactylorhiza majalis,2015,126
Dactylorhiza sambucina,1960,43
Dactylorhiza sambucina,1965,65
Dactylorhiza sambucina,1970,50
Dactylorhiza sambucina,1975,50
Dactylorhiza sambucina,1980,93
Dactylorhiza sambucina,1985,105
Dactylorhiza sambucina,1990,150
Dactylorhiza sambucina,1995,76
Dactylorhiza sambucina,2000,156
Dactylorhiza sambucina,2005,114
Dactylorhiza sambucina,2010,100
Dactylorhiza sambucina,2015,9
Dactylorhiza traunsteineri,1960,1
Dactylorhiza traunsteineri,1970,1
Dactylorhiza traunsteineri,1975,18
Dactylorhiza traunsteineri,1980,4
Dactylorhiza traunsteineri,1985,4
Dactylorhiza traunsteineri,1990,2
Dactylorhiza traunsteineri,1995,16
Dactylorhiza traunsteineri,2000,18
Dactylorhiza traunsteineri,2005,13
Dactylorhiza traunsteineri,2010,5
Dactylorhiza traunsteineri,2015,2
Danthonia alpina,1965,1
Danthonia alpina,1970,4
Danthonia alpina,1975,1
Danthonia alpina,1985,3
Danthonia alpina,1990,3
Danthonia alpina,1995,5
Danthonia alpina,2000,8
Danthonia alpina,2005,7
Danthonia alpina,2010,3
Danthonia decumbens,1960,227
Danthonia decumbens,1965,205
Danthonia decumbens,1970,332
Danthonia decumbens,1975,272
Danthonia decumbens,1980,227
Danthonia decumbens,1985,336
Danthonia decumbens,1990,355
Danthonia decumbens,1995,320
Danthonia decumbens,2000,785
Danthonia decumbens,2005,595
Danthonia decumbens,2010,567
Danthonia decumbens,2015,139
Daphne cneorum,1960,11
Daphne cneorum,1965,22
Daphne cneorum,1970,12
Daphne cneorum,1975,14
Daphne cneorum,1980,23
Daphne cneorum,1985,21
Daphne cneorum,1990,12
Daphne cneorum,1995,32
Daphne cneorum,2000,32
Daphne cneorum,2005,40
Daphne cneorum,2010,20
Daphne cneorum,2015,2
Daphne mezereum,1960,298
Daphne mezereum,1965,392
Daphne mezereum,1970,459
Daphne mezereum,1975,391
Daphne mezereum,1980,346
Daphne mezereum,1985,400
Daphne mezereum,1990,516
Daphne mezereum,1995,536
Daphne mezereum,2000,1600
Daphne mezereum,2005,689
Daphne mezereum,2010,773
Daphne mezereum,2015,114
Dasiphora fruticosa,1970,2
Dasiphora fruticosa,1975,2
Dasiphora fruticosa,1985,1
Dasiphora fruticosa,1990,6
Dasiphora fruticosa,1995,3
Dasiphora fruticosa,2000,6
Dasiphora fruticosa,2005,13
Dasiphora fruticosa,2010,17
Dasiphora fruticosa,2015,3
Datura stramonium,1960,10
Datura stramonium,1965,17
Datura stramonium,1970,17
Datura stramonium,1975,30
Datura stramonium,1980,32
Datura stramonium,1985,19
Datura stramonium,1990,48
Datura stramonium,1995,44
Datura stramonium,2000,107
Datura stramonium,2005,111
Datura stramonium,2010,81
Datura stramonium,2015,158
Daucus carota,1960,140
Daucus carota,1965,272
Daucus carota,1970,497
Daucus carota,1975,533
Daucus carota,1980,603
Daucus carota,1985,540
Daucus carota,1990,518
Daucus carota,1995,678
Daucus carota,2000,1892
Daucus carota,2005,1251
Daucus carota,2010,1165
Daucus carota,2015,326
Delphinium elatum,1960,4
Delphinium elatum,1965,4
Delphinium elatum,1970,6
Delphinium elatum,1975,4
Delphinium elatum,1980,5
Delphinium elatum,1985,2
Delphinium elatum,1990,5
Delphinium elatum,1995,8
Delphinium elatum,2000,20
Delphinium elatum,2005,11
Delphinium elatum,2010,5
Delphinium elatum,2015,2
Dentaria bulbifera,1960,240
Dentaria bulbifera,1965,234
Dentaria bulbifera,1970,337
Dentaria bulbifera,1975,264
Dentaria bulbifera,1980,199
Dentaria bulbifera,1985,202
Dentaria bulbifera,1990,305
Dentaria bulbifera,1995,437
Dentaria bulbifera,2000,974
Dentaria bulbifera,2005,421
Dentaria bulbifera,2010,455
Dentaria bulbifera,2015,81
Dentaria enneaphyllos,1960,136
Dentaria enneaphyllos,1965,154
Dentaria enneaphyllos,1970,184
Dentaria enneaphyllos,1975,148
Dentaria enneaphyllos,1980,136
Dentaria enneaphyllos,1985,86
Dentaria enneaphyllos,1990,146
Dentaria enneaphyllos,1995,186
Dentaria enneaphyllos,2000,495
Dentaria enneaphyllos,2005,148
Dentaria enneaphyllos,2010,187
Dentaria enneaphyllos,2015,37
Dentaria glandulosa,1960,28
Dentaria glandulosa,1965,23
Dentaria glandulosa,1970,38
Dentaria glandulosa,1975,60
Dentaria glandulosa,1980,38
Dentaria glandulosa,1985,29
Dentaria glandulosa,1990,41
Dentaria glandulosa,1995,62
Dentaria glandulosa,2000,122
Dentaria glandulosa,2005,91
Dentaria glandulosa,2010,57
Dentaria glandulosa,2015,17
Deschampsia cespitosa,1960,790
Deschampsia cespitosa,1965,897
Deschampsia cespitosa,1970,1317
Deschampsia cespitosa,1975,1064
Deschampsia cespitosa,1980,779
Deschampsia cespitosa,1985,901
Deschampsia cespitosa,1990,1028
Deschampsia cespitosa,1995,1644
Deschampsia cespitosa,2000,5260
Deschampsia cespitosa,2005,2234
Deschampsia cespitosa,2010,2284
Deschampsia cespitosa,2015,294
Descurainia sophia,1960,72
Descurainia sophia,1965,125
Descurainia sophia,1970,195
Descurainia sophia,1975,315
Descurainia sophia,1980,289
Descurainia sophia,1985,298
Descurainia sophia,1990,318
Descurainia sophia,1995,303
Descurainia sophia,2000,542
Descurainia sophia,2005,403
Descurainia sophia,2010,429
Descurainia sophia,2015,309
Deutzia scabra,1970,3
Deutzia scabra,1975,2
Deutzia scabra,1980,3
Deutzia scabra,1985,2
Deutzia scabra,1990,7
Deutzia scabra,1995,3
Deutzia scabra,2000,9
Deutzia scabra,2005,9
Deutzia scabra,2010,6
Dianthus armeria,1960,8
Dianthus armeria,1965,32
Dianthus armeria,1970,62
Dianthus armeria,1975,38
Dianthus armeria,1980,28
Dianthus armeria,1985,54
Dianthus armeria,1990,78
Dianthus armeria,1995,56
Dianthus armeria,2000,181
Dianthus armeria,2005,75
Dianthus armeria,2010,79
Dianthus armeria,2015,39
Dianthus barbatus,1970,2
Dianthus barbatus,1975,3
Dianthus barbatus,1980,3
Dianthus barbatus,1985,4
Dianthus barbatus,1990,8
Dianthus barbatus,1995,4
Dianthus barbatus,2000,20
Dianthus barbatus,2005,10
Dianthus barbatus,2010,17
Dianthus barbatus,2015,5
Dianthus carthusianorum agg.,1960,113
Dianthus carthusianorum agg.,1965,233
Dianthus carthusianorum agg.,1970,356
Dianthus carthusianorum agg.,1975,354
Dianthus carthusianorum agg.,1980,381
Dianthus carthusianorum agg.,1985,385
Dianthus carthusianorum agg.,1990,474
Dianthus carthusianorum agg.,1995,318
Dianthus carthusianorum agg.,2000,1031
Dianthus carthusianorum agg.,2005,542
Dianthus carthusianorum agg.,2010,551
Dianthus carthusianorum agg.,2015,106
Dianthus deltoides,1960,65
Dianthus deltoides,1965,206
Dianthus deltoides,1970,334
Dianthus deltoides,1975,367
Dianthus deltoides,1980,396
Dianthus deltoides,1985,492
Dianthus deltoides,1990,360
Dianthus deltoides,1995,445
Dianthus deltoides,2000,1960
Dianthus deltoides,2005,763
Dianthus deltoides,2010,931
Dianthus deltoides,2015,274
Dianthus gratianopolitanus,1960,3
Dianthus gratianopolitanus,1965,9
Dianthus gratianopolitanus,1970,18
Dianthus gratianopolitanus,1975,26
Dianthus gratianopolitanus,1980,12
Dianthus gratianopolitanus,1985,1
Dianthus gratianopolitanus,1990,3
Dianthus gratianopolitanus,1995,5
Dianthus gratianopolitanus,2000,27
Dianthus gratianopolitanus,2005,6
Dianthus gratianopolitanus,2010,16
Dianthus gratianopolitanus,2015,8
Dianthus lumnitzeri,1960,1
Dianthus lumnitzeri,1965,6
Dianthus lumnitzeri,1970,1
Dianthus lumnitzeri,1975,6
Dianthus lumnitzeri,1980,1
Dianthus lumnitzeri,1990,4
Dianthus lumnitzeri,1995,5
Dianthus lumnitzeri,2000,7
Dianthus lumnitzeri,2005,6
Dianthus lumnitzeri,2010,6
Dianthus lumnitzeri,2015,3
Dianthus moravicus,1965,4
Dianthus moravicus,1970,1
Dianthus moravicus,1975,6
Dianthus moravicus,1980,2
Dianthus moravicus,1985,2
Dianthus moravicus,1990,4
Dianthus moravicus,1995,6
Dianthus moravicus,2000,10
Dianthus moravicus,2005,10
Dianthus moravicus,2010,10
Dianthus superbus,1960,31
Dianthus superbus,1965,46
Dianthus superbus,1970,36
Dianthus superbus,1975,31
Dianthus superbus,1980,36
Dianthus superbus,1985,42
Dianthus superbus,1990,45
Dianthus superbus,1995,60
Dianthus superbus,2000,135
Dianthus superbus,2005,90
Dianthus superbus,2010,57
Dianthus superbus,2015,4
Dianthus sylvaticus,1960,6
Dianthus sylvaticus,1965,9
Dianthus sylvaticus,1970,15
Dianthus sylvaticus,1975,16
Dianthus sylvaticus,1980,28
Dianthus sylvaticus,1985,13
Dianthus sylvaticus,1990,11
Dianthus sylvaticus,1995,21
Dianthus sylvaticus,2000,72
Dianthus sylvaticus,2005,32
Dianthus sylvaticus,2010,41
Dianthus sylvaticus,2015,10
Dictamnus albus,1960,64
Dictamnus albus,1965,76
Dictamnus albus,1970,70
Dictamnus albus,1975,60
Dictamnus albus,1980,72
Dictamnus albus,1985,47
Dictamnus albus,1990,96
Dictamnus albus,1995,87
Dictamnus albus,2000,257
Dictamnus albus,2005,99
Dictamnus albus,2010,126
Dictamnus albus,2015,23
Digitalis grandiflora,1960,165
Digitalis grandiflora,1965,230
Digitalis grandiflora,1970,233
Digitalis grandiflora,1975,204
Digitalis grandiflora,1980,154
Digitalis grandiflora,1985,220
Digitalis grandiflora,1990,198
Digitalis grandiflora,1995,155
Digitalis grandiflora,2000,554
Digitalis grandiflora,2005,300
Digitalis grandiflora,2010,367
Digitalis grandiflora,2015,84
Digitalis purpurea,1960,15
Digitalis purpurea,1965,23
Digitalis purpurea,1970,49
Digitalis purpurea,1975,47
Digitalis purpurea,1980,82
Digitalis purpurea,1985,64
Digitalis purpurea,1990,98
Digitalis purpurea,1995,196
Digitalis purpurea,2000,364
Digitalis purpurea,2005,213
Digitalis purpurea,2010,284
Digitalis purpurea,2015,106
Digitaria ischaemum,1960,34
Digitaria ischaemum,1965,73
Digitaria ischaemum,1970,124
Digitaria ischaemum,1975,109
Digitaria ischaemum,1980,88
Digitaria ischaemum,1985,110
Digitaria ischaemum,1990,64
Digitaria ischaemum,1995,39
Digitaria ischaemum,2000,126
Digitaria ischaemum,2005,143
Digitaria ischaemum,2010,107
Digitaria ischaemum,2015,94
Digitaria sanguinalis,1960,38
Digitaria sanguinalis,1965,53
Digitaria sanguinalis,1970,111
Digitaria sanguinalis,1975,129
Digitaria sanguinalis,1980,122
Digitaria sanguinalis,1985,79
Digitaria sanguinalis,1990,96
Digitaria sanguinalis,1995,86
Digitaria sanguinalis,2000,260
Digitaria sanguinalis,2005,308
Digitaria sanguinalis,2010,328
Digitaria sanguinalis,2015,513
Diphasiastrum alpinum,1960,10
Diphasiastrum alpinum,1965,4
Diphasiastrum alpinum,1970,9
Diphasiastrum alpinum,1975,4
Diphasiastrum alpinum,1980,8
Diphasiastrum alpinum,1985,12
Diphasiastrum alpinum,1990,33
Diphasiastrum alpinum,1995,45
Diphasiastrum alpinum,2000,41
Diphasiastrum alpinum,2005,55
Diphasiastrum alpinum,2010,47
Diphasiastrum alpinum,2015,3
Diphasiastrum complanatum agg.,1960,90
Diphasiastrum complanatum agg.,1965,69
Diphasiastrum complanatum agg.,1970,71
Diphasiastrum complanatum agg.,1975,46
Diphasiastrum complanatum agg.,1980,19
Diphasiastrum complanatum agg.,1985,53
Diphasiastrum complanatum agg.,1990,75
Diphasiastrum complanatum agg.,1995,87
Diphasiastrum complanatum agg.,2000,92
Diphasiastrum complanatum agg.,2005,86
Diphasiastrum complanatum agg.,2010,54
Diphasiastrum complanatum agg.,2015,14
Diplotaxis muralis,1960,5
Diplotaxis muralis,1965,20
Diplotaxis muralis,1970,21
Diplotaxis muralis,1975,17
Diplotaxis muralis,1980,13
Diplotaxis muralis,1985,11
Diplotaxis muralis,1990,39
Diplotaxis muralis,1995,9
Diplotaxis muralis,2000,27
Diplotaxis muralis,2005,20
Diplotaxis muralis,2010,10
Diplotaxis muralis,2015,8
Diplotaxis tenuifolia,1960,4
Diplotaxis tenuifolia,1965,6
Diplotaxis tenuifolia,1970,3
Diplotaxis tenuifolia,1975,10
Diplotaxis tenuifolia,1980,9
Diplotaxis tenuifolia,1985,12
Diplotaxis tenuifolia,1990,44
Diplotaxis tenuifolia,1995,11
Diplotaxis tenuifolia,2000,16
Diplotaxis tenuifolia,2005,5
Diplotaxis tenuifolia,2010,14
Diplotaxis tenuifolia,2015,15
Dipsacus fullonum,1960,18
Dipsacus fullonum,1965,66
Dipsacus fullonum,1970,81
Dipsacus fullonum,1975,132
Dipsacus fullonum,1980,156
Dipsacus fullonum,1985,192
Dipsacus fullonum,1990,151
Dipsacus fullonum,1995,107
Dipsacus fullonum,2000,421
Dipsacus fullonum,2005,340
Dipsacus fullonum,2010,304
Dipsacus fullonum,2015,246
Dipsacus laciniatus,1965,1
Dipsacus laciniatus,1975,1
Dipsacus laciniatus,1980,4
Dipsacus laciniatus,1985,8
Dipsacus laciniatus,1990,40
Dipsacus laciniatus,1995,31
Dipsacus laciniatus,2000,84
Dipsacus laciniatus,2005,55
Dipsacus laciniatus,2010,29
Dipsacus laciniatus,2015,31
Dipsacus pilosus,1960,1
Dipsacus pilosus,1975,2
Dipsacus pilosus,1980,2
Dipsacus pilosus,1985,2
Dipsacus pilosus,1990,18
Dipsacus pilosus,1995,8
Dipsacus pilosus,2000,23
Dipsacus pilosus,2005,8
Dipsacus pilosus,2010,16
Dipsacus pilosus,2015,8
Dipsacus strigosus,1960,3
Dipsacus strigosus,1965,2
Dipsacus strigosus,1970,5
Dipsacus strigosus,1975,3
Dipsacus strigosus,1980,5
Dipsacus strigosus,1985,7
Dipsacus strigosus,1990,13
Dipsacus strigosus,1995,20
Dipsacus strigosus,2000,15
Dipsacus strigosus,2005,25
Dipsacus strigosus,2010,41
Dipsacus strigosus,2015,42
Dittrichia graveolens,2005,18
Dittrichia graveolens,2010,131
Dittrichia graveolens,2015,169
Doronicum austriacum,1960,41
Doronicum austriacum,1965,51
Doronicum austriacum,1970,72
Doronicum austriacum,1975,35
Doronicum austriacum,1980,40
Doronicum austriacum,1985,46
Doronicum austriacum,1990,31
Doronicum austriacum,1995,66
Doronicum austriacum,2000,212
Doronicum austriacum,2005,64
Doronicum austriacum,2010,125
Doronicum austriacum,2015,29
Dorycnium pentaphyllum agg.,1960,60
Dorycnium pentaphyllum agg.,1965,91
Dorycnium pentaphyllum agg.,1970,105
Dorycnium pentaphyllum agg.,1975,59
Dorycnium pentaphyllum agg.,1980,114
Dorycnium pentaphyllum agg.,1985,87
Dorycnium pentaphyllum agg.,1990,174
Dorycnium pentaphyllum agg.,1995,163
Dorycnium pentaphyllum agg.,2000,297
Dorycnium pentaphyllum agg.,2005,196
Dorycnium pentaphyllum agg.,2010,100
Dorycnium pentaphyllum agg.,2015,16
Draba muralis,1960,3
Draba muralis,1965,5
Draba muralis,1970,3
Draba muralis,1975,4
Draba muralis,1980,1
Draba muralis,1985,2
Draba muralis,1990,8
Draba muralis,1995,2
Draba muralis,2000,2
Draba muralis,2005,13
Draba muralis,2010,14
Draba muralis,2015,64
Draba nemorosa,1960,3
Draba nemorosa,1965,1
Draba nemorosa,1970,3
Draba nemorosa,1975,1
Draba nemorosa,1980,7
Draba nemorosa,1985,2
Draba nemorosa,1990,16
Draba nemorosa,1995,4
Draba nemorosa,2000,12
Draba nemorosa,2005,11
Draba nemorosa,2010,11
Draba nemorosa,2015,8
Dracocephalum austriacum,1960,8
Dracocephalum austriacum,1965,12
Dracocephalum austriacum,1970,8
Dracocephalum austriacum,1975,6
Dracocephalum austriacum,1980,12
Dracocephalum austriacum,1985,6
Dracocephalum austriacum,1990,4
Dracocephalum austriacum,1995,14
Dracocephalum austriacum,2000,28
Dracocephalum austriacum,2005,17
Dracocephalum austriacum,2010,26
Dracocephalum austriacum,2015,3
Drosera anglica,1960,6
Drosera anglica,1965,3
Drosera anglica,1970,16
Drosera anglica,1975,13
Drosera anglica,1980,7
Drosera anglica,1985,8
Drosera anglica,1990,12
Drosera anglica,1995,4
Drosera anglica,2000,33
Drosera anglica,2005,15
Drosera anglica,2010,17
Drosera anglica,2015,2
Drosera intermedia,1965,3
Drosera intermedia,1970,3
Drosera intermedia,1975,3
Drosera intermedia,1980,4
Drosera intermedia,1985,1
Drosera intermedia,1990,6
Drosera intermedia,1995,4
Drosera intermedia,2000,8
Drosera intermedia,2005,8
Drosera intermedia,2010,9
Drosera intermedia,2015,1
Drosera rotundifolia,1960,125
Drosera rotundifolia,1965,231
Drosera rotundifolia,1970,148
Drosera rotundifolia,1975,125
Drosera rotundifolia,1980,177
Drosera rotundifolia,1985,200
Drosera rotundifolia,1990,179
Drosera rotundifolia,1995,194
Drosera rotundifolia,2000,541
Drosera rotundifolia,2005,344
Drosera rotundifolia,2010,304
Drosera rotundifolia,2015,37
Drymocallis rupestris,1965,3
Drymocallis rupestris,1970,4
Drymocallis rupestris,1975,10
Drymocallis rupestris,1980,5
Drymocallis rupestris,1985,2
Drymocallis rupestris,1990,12
Drymocallis rupestris,1995,8
Drymocallis rupestris,2000,25
Drymocallis rupestris,2005,22
Drymocallis rupestris,2010,14
Drymocallis rupestris,2015,4
Dryopteris affinis agg.,1960,10
Dryopteris affinis agg.,1965,5
Dryopteris affinis agg.,1970,12
Dryopteris affinis agg.,1975,14
Dryopteris affinis agg.,1980,40
Dryopteris affinis agg.,1985,24
Dryopteris affinis agg.,1990,26
Dryopteris affinis agg.,1995,42
Dryopteris affinis agg.,2000,64
Dryopteris affinis agg.,2005,120
Dryopteris affinis agg.,2010,51
Dryopteris affinis agg.,2015,46
Dryopteris carthusiana agg.,1960,922
Dryopteris carthusiana agg.,1965,1020
Dryopteris carthusiana agg.,1970,1350
Dryopteris carthusiana agg.,1975,1013
Dryopteris carthusiana agg.,1980,781
Dryopteris carthusiana agg.,1985,963
Dryopteris carthusiana agg.,1990,1125
Dryopteris carthusiana agg.,1995,1626
Dryopteris carthusiana agg.,2000,3099
Dryopteris carthusiana agg.,2005,1905
Dryopteris carthusiana agg.,2010,1802
Dryopteris carthusiana agg.,2015,357
Dryopteris cristata,1960,6
Dryopteris cristata,1965,3
Dryopteris cristata,1970,5
Dryopteris cristata,1975,6
Dryopteris cristata,1980,9
Dryopteris cristata,1985,14
Dryopteris cristata,1990,6
Dryopteris cristata,1995,28
Dryopteris cristata,2000,21
Dryopteris cristata,2005,15
Dryopteris cristata,2010,31
Dryopteris cristata,2015,7
Dryopteris filix-mas,1960,217
Dryopteris filix-mas,1965,467
Dryopteris filix-mas,1970,497
Dryopteris filix-mas,1975,497
Dryopteris filix-mas,1980,508
Dryopteris filix-mas,1985,611
Dryopteris filix-mas,1990,661
Dryopteris filix-mas,1995,985
Dryopteris filix-mas,2000,3073
Dryopteris filix-mas,2005,1698
Dryopteris filix-mas,2010,1900
Dryopteris filix-mas,2015,382
Duchesnea indica,1970,2
Duchesnea indica,1975,5
Duchesnea indica,1980,1
Duchesnea indica,1985,3
Duchesnea indica,1990,1
Duchesnea indica,1995,2
Duchesnea indica,2000,8
Duchesnea indica,2005,13
Duchesnea indica,2010,43
Duchesnea indica,2015,26
Dysphania botrys,1960,14
Dysphania botrys,1965,20
Dysphania botrys,1970,48
Dysphania botrys,1975,22
Dysphania botrys,1980,23
Dysphania botrys,1985,32
Dysphania botrys,1990,27
Dysphania botrys,1995,20
Dysphania botrys,2000,33
Dysphania botrys,2005,33
Dysphania botrys,2010,59
Dysphania botrys,2015,53
Dysphania pumilio,1960,12
Dysphania pumilio,1965,19
Dysphania pumilio,1970,56
Dysphania pumilio,1975,41
Dysphania pumilio,1980,21
Dysphania pumilio,1985,16
Dysphania pumilio,1990,52
Dysphania pumilio,1995,24
Dysphania pumilio,2000,37
Dysphania pumilio,2005,27
Dysphania pumilio,2010,56
Dysphania pumilio,2015,57
Echinochloa crus-galli,1960,25
Echinochloa crus-galli,1965,54
Echinochloa crus-galli,1970,78
Echinochloa crus-galli,1975,167
Echinochloa crus-galli,1980,193
Echinochloa crus-galli,1985,237
Echinochloa crus-galli,1990,236
Echinochloa crus-galli,1995,366
Echinochloa crus-galli,2000,864
Echinochloa crus-galli,2005,801
Echinochloa crus-galli,2010,919
Echinochloa crus-galli,2015,481
Echinocystis lobata,1960,15
Echinocystis lobata,1965,7
Echinocystis lobata,1970,9
Echinocystis lobata,1975,16
Echinocystis lobata,1980,20
Echinocystis lobata,1985,16
Echinocystis lobata,1990,37
Echinocystis lobata,1995,74
Echinocystis lobata,2000,185
Echinocystis lobata,2005,216
Echinocystis lobata,2010,122
Echinocystis lobata,2015,18
Echinops sphaerocephalus,1960,41
Echinops sphaerocephalus,1965,94
Echinops sphaerocephalus,1970,123
Echinops sphaerocephalus,1975,166
Echinops sphaerocephalus,1980,144
Echinops sphaerocephalus,1985,133
